Frequence = 10 Ghz;
N = 8784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000265054; Faza = 159.284 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
84   X = 20 mm; Y = 75 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
85   X = 20 mm; Y = 77 mm; Amplitude = 0.000288958; Faza = 90.9996 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
86   X = 20 mm; Y = 77 mm; Amplitude = 9.34295e-005; Faza = -169.515 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
87   X = 20 mm; Y = 77 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
88   X = 20 mm; Y = 79 mm; Amplitude = 0.000294256; Faza = 115.643 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
89   X = 20 mm; Y = 79 mm; Amplitude = 8.90466e-005; Faza = -145.889 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
90   X = 20 mm; Y = 79 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
91   X = 20 mm; Y = 81 mm; Amplitude = 0.000302518; Faza = 140.614 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
92   X = 20 mm; Y = 81 mm; Amplitude = 8.4293e-005; Faza = -120.546 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
93   X = 20 mm; Y = 81 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
94   X = 20 mm; Y = 83 mm; Amplitude = 0.000315137; Faza = 165.515 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
95   X = 20 mm; Y = 83 mm; Amplitude = 8.08721e-005; Faza = -93.3284 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
96   X = 20 mm; Y = 83 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
97   X = 20 mm; Y = 85 mm; Amplitude = 0.000331979; Faza = -170.113 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
98   X = 20 mm; Y = 85 mm; Amplitude = 8.0131e-005; Faza = -65.0256 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
99   X = 20 mm; Y = 85 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
100   X = 20 mm; Y = 87 mm; Amplitude = 0.000351244; Faza = -146.545 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
101   X = 20 mm; Y = 87 mm; Amplitude = 8.22103e-005; Faza = -37.0378 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
102   X = 20 mm; Y = 87 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
103   X = 20 mm; Y = 89 mm; Amplitude = 0.000370256; Faza = -123.739 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
104   X = 20 mm; Y = 89 mm; Amplitude = 8.59227e-005; Faza = -10.2863 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
105   X = 20 mm; Y = 89 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
106   X = 20 mm; Y = 91 mm; Amplitude = 0.000386735; Faza = -101.394 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
107   X = 20 mm; Y = 91 mm; Amplitude = 8.97542e-005; Faza = 15.368 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
108   X = 20 mm; Y = 91 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
109   X = 20 mm; Y = 93 mm; Amplitude = 0.000399868; Faza = -79.1026 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
110   X = 20 mm; Y = 93 mm; Amplitude = 9.2934e-005; Faza = 40.6885 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
111   X = 20 mm; Y = 93 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
112   X = 20 mm; Y = 95 mm; Amplitude = 0.000410763; Faza = -56.5228 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
113   X = 20 mm; Y = 95 mm; Amplitude = 9.58227e-005; Faza = 66.42 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
114   X = 20 mm; Y = 95 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
115   X = 20 mm; Y = 97 mm; Amplitude = 0.000422063; Faza = -33.536 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
116   X = 20 mm; Y = 97 mm; Amplitude = 9.97129e-005; Faza = -267.193 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
117   X = 20 mm; Y = 97 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
118   X = 20 mm; Y = 99 mm; Amplitude = 0.000436615; Faza = -10.336 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
119   X = 20 mm; Y = 99 mm; Amplitude = 0.000106056; Faza = -240.662 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
120   X = 20 mm; Y = 99 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
121   X = 20 mm; Y = 101 mm; Amplitude = 0.000455754; Faza = 12.6585 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
122   X = 20 mm; Y = 101 mm; Amplitude = 0.000115401; Faza = -214.93 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
123   X = 20 mm; Y = 101 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
124   X = 20 mm; Y = 103 mm; Amplitude = 0.000478266; Faza = 35.0504 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
125   X = 20 mm; Y = 103 mm; Amplitude = 0.000127011; Faza = -190.659 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
126   X = 20 mm; Y = 103 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
127   X = 20 mm; Y = 105 mm; Amplitude = 0.000500835; Faza = 56.6933 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
128   X = 20 mm; Y = 105 mm; Amplitude = 0.000139363; Faza = -167.871 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
129   X = 20 mm; Y = 105 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
130   X = 20 mm; Y = 107 mm; Amplitude = 0.00051963; Faza = 77.7458 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
131   X = 20 mm; Y = 107 mm; Amplitude = 0.000150969; Faza = -146.158 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
132   X = 20 mm; Y = 107 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
133   X = 20 mm; Y = 109 mm; Amplitude = 0.000532079; Faza = 98.5707 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
134   X = 20 mm; Y = 109 mm; Amplitude = 0.000160941; Faza = -124.98 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
135   X = 20 mm; Y = 109 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
136   X = 20 mm; Y = 111 mm; Amplitude = 0.000537985; Faza = 119.583 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
137   X = 20 mm; Y = 111 mm; Amplitude = 0.000169225; Faza = -103.887 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
138   X = 20 mm; Y = 111 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
139   X = 20 mm; Y = 113 mm; Amplitude = 0.00053966; Faza = 141.1 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
140   X = 20 mm; Y = 113 mm; Amplitude = 0.000176371; Faza = -82.6516 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
141   X = 20 mm; Y = 113 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
142   X = 20 mm; Y = 115 mm; Amplitude = 0.000540954; Faza = 163.203 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
143   X = 20 mm; Y = 115 mm; Amplitude = 0.000183123; Faza = -61.2759 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
144   X = 20 mm; Y = 115 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
145   X = 20 mm; Y = 117 mm; Amplitude = 0.000545319; Faza = -174.325 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
146   X = 20 mm; Y = 117 mm; Amplitude = 0.000189951; Faza = -39.9389 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
147   X = 20 mm; Y = 117 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
148   X = 20 mm; Y = 119 mm; Amplitude = 0.000553809; Faza = -151.891 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
149   X = 20 mm; Y = 119 mm; Amplitude = 0.000196668; Faza = -18.8462 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
150   X = 20 mm; Y = 119 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
151   X = 20 mm; Y = 121 mm; Amplitude = 0.000564446; Faza = -129.842 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
152   X = 20 mm; Y = 121 mm; Amplitude = 0.000202545; Faza = 1.92499 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
153   X = 20 mm; Y = 121 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
154   X = 20 mm; Y = 123 mm; Amplitude = 0.000573403; Faza = -108.256 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
155   X = 20 mm; Y = 123 mm; Amplitude = 0.000206738; Faza = 22.4655 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
156   X = 20 mm; Y = 123 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
157   X = 20 mm; Y = 125 mm; Amplitude = 0.000577205; Faza = -86.9185 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
158   X = 20 mm; Y = 125 mm; Amplitude = 0.00020871; Faza = 42.9924 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
159   X = 20 mm; Y = 125 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
160   X = 20 mm; Y = 127 mm; Amplitude = 0.000574674; Faza = -65.4344 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
161   X = 20 mm; Y = 127 mm; Amplitude = 0.000208581; Faza = 63.7753 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
162   X = 20 mm; Y = 127 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
163   X = 20 mm; Y = 129 mm; Amplitude = 0.000567688; Faza = -43.4167 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
164   X = 20 mm; Y = 129 mm; Amplitude = 0.00020711; Faza = 84.9965 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
165   X = 20 mm; Y = 129 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
166   X = 20 mm; Y = 131 mm; Amplitude = 0.000560488; Faza = -20.677 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
167   X = 20 mm; Y = 131 mm; Amplitude = 0.000205265; Faza = -253.337 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
168   X = 20 mm; Y = 131 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
169   X = 20 mm; Y = 133 mm; Amplitude = 0.00055758; Faza = 2.63016 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
170   X = 20 mm; Y = 133 mm; Amplitude = 0.000203777; Faza = -231.403 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
171   X = 20 mm; Y = 133 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
172   X = 20 mm; Y = 135 mm; Amplitude = 0.000561067; Faza = 26.0546 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
173   X = 20 mm; Y = 135 mm; Amplitude = 0.000202616; Faza = -209.479 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
174   X = 20 mm; Y = 135 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
175   X = 20 mm; Y = 137 mm; Amplitude = 0.000569327; Faza = 49.1345 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
176   X = 20 mm; Y = 137 mm; Amplitude = 0.000200938; Faza = -187.742 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
177   X = 20 mm; Y = 137 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
178   X = 20 mm; Y = 139 mm; Amplitude = 0.000578106; Faza = 71.6995 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
179   X = 20 mm; Y = 139 mm; Amplitude = 0.000197556; Faza = -166.143 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
180   X = 20 mm; Y = 139 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
181   X = 20 mm; Y = 141 mm; Amplitude = 0.000583263; Faza = 93.9567 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
182   X = 20 mm; Y = 141 mm; Amplitude = 0.000191598; Faza = -144.354 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
183   X = 20 mm; Y = 141 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
184   X = 20 mm; Y = 143 mm; Amplitude = 0.000583398; Faza = 116.352 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
185   X = 20 mm; Y = 143 mm; Amplitude = 0.000183115; Faza = -121.837 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
186   X = 20 mm; Y = 143 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
187   X = 20 mm; Y = 145 mm; Amplitude = 0.000581013; Faza = 139.321 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
