Frequence = 10 Ghz;
N = 9084;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000450778; Faza = -151.902 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
95   X = 20 mm; Y = 83 mm; Amplitude = 0; Faza = 32.7341 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
96   X = 20 mm; Y = 83 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
97   X = 20 mm; Y = 85 mm; Amplitude = 0; Faza = 24.7675 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
98   X = 20 mm; Y = 85 mm; Amplitude = 0; Faza = 33.0108 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
99   X = 20 mm; Y = 85 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
100   X = 20 mm; Y = 87 mm; Amplitude = 0; Faza = 24.0118 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
101   X = 20 mm; Y = 87 mm; Amplitude = 0; Faza = 33.0486 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
102   X = 20 mm; Y = 87 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
103   X = 20 mm; Y = 89 mm; Amplitude = 0; Faza = 23.5353 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
104   X = 20 mm; Y = 89 mm; Amplitude = 0; Faza = 32.8583 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
105   X = 20 mm; Y = 89 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
106   X = 20 mm; Y = 91 mm; Amplitude = 0; Faza = 23.4503 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
107   X = 20 mm; Y = 91 mm; Amplitude = 0; Faza = 32.4732 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
108   X = 20 mm; Y = 91 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
109   X = 20 mm; Y = 93 mm; Amplitude = 0; Faza = 23.8298 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
110   X = 20 mm; Y = 93 mm; Amplitude = 0; Faza = 31.943 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
111   X = 20 mm; Y = 93 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
112   X = 20 mm; Y = 95 mm; Amplitude = 0; Faza = 24.6759 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
113   X = 20 mm; Y = 95 mm; Amplitude = 0; Faza = 31.3268 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
114   X = 20 mm; Y = 95 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
115   X = 20 mm; Y = 97 mm; Amplitude = 0; Faza = 25.8979 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
116   X = 20 mm; Y = 97 mm; Amplitude = 0; Faza = 30.6874 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
117   X = 20 mm; Y = 97 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
118   X = 20 mm; Y = 99 mm; Amplitude = 0; Faza = 27.3181 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
119   X = 20 mm; Y = 99 mm; Amplitude = 0; Faza = 30.0859 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
120   X = 20 mm; Y = 99 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
121   X = 20 mm; Y = 101 mm; Amplitude = 0; Faza = 28.7094 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
122   X = 20 mm; Y = 101 mm; Amplitude = 0; Faza = 29.5774 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
123   X = 20 mm; Y = 101 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
124   X = 20 mm; Y = 103 mm; Amplitude = 0; Faza = 29.8527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
125   X = 20 mm; Y = 103 mm; Amplitude = 0; Faza = 29.2059 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
126   X = 20 mm; Y = 103 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
127   X = 20 mm; Y = 105 mm; Amplitude = 0; Faza = 30.5864 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
128   X = 20 mm; Y = 105 mm; Amplitude = 0; Faza = 28.9999 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
129   X = 20 mm; Y = 105 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
130   X = 20 mm; Y = 107 mm; Amplitude = 0; Faza = 30.8301 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
131   X = 20 mm; Y = 107 mm; Amplitude = 0; Faza = 28.9683 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
132   X = 20 mm; Y = 107 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
133   X = 20 mm; Y = 109 mm; Amplitude = 0; Faza = 30.5816 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
134   X = 20 mm; Y = 109 mm; Amplitude = 0; Faza = 29.0973 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
135   X = 20 mm; Y = 109 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
136   X = 20 mm; Y = 111 mm; Amplitude = 0; Faza = 29.9015 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
137   X = 20 mm; Y = 111 mm; Amplitude = 0; Faza = 29.3508 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
138   X = 20 mm; Y = 111 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
139   X = 20 mm; Y = 113 mm; Amplitude = 0; Faza = 28.8962 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
140   X = 20 mm; Y = 113 mm; Amplitude = 0; Faza = 29.6752 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
141   X = 20 mm; Y = 113 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
142   X = 20 mm; Y = 115 mm; Amplitude = 0; Faza = 27.7054 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
143   X = 20 mm; Y = 115 mm; Amplitude = 0; Faza = 30.0083 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
144   X = 20 mm; Y = 115 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
145   X = 20 mm; Y = 117 mm; Amplitude = 0; Faza = 26.4939 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
146   X = 20 mm; Y = 117 mm; Amplitude = 0; Faza = 30.2904 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
147   X = 20 mm; Y = 117 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
148   X = 20 mm; Y = 119 mm; Amplitude = 0; Faza = 25.4416 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
149   X = 20 mm; Y = 119 mm; Amplitude = 0; Faza = 30.4745 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
150   X = 20 mm; Y = 119 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
151   X = 20 mm; Y = 121 mm; Amplitude = 0; Faza = 24.7294 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
152   X = 20 mm; Y = 121 mm; Amplitude = 0; Faza = 30.533 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
153   X = 20 mm; Y = 121 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
154   X = 20 mm; Y = 123 mm; Amplitude = 0; Faza = 24.5146 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
155   X = 20 mm; Y = 123 mm; Amplitude = 0; Faza = 30.4593 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
156   X = 20 mm; Y = 123 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
157   X = 20 mm; Y = 125 mm; Amplitude = 0; Faza = 24.8956 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
158   X = 20 mm; Y = 125 mm; Amplitude = 0; Faza = 30.2659 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
159   X = 20 mm; Y = 125 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
160   X = 20 mm; Y = 127 mm; Amplitude = 0; Faza = 25.8731 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
161   X = 20 mm; Y = 127 mm; Amplitude = 0; Faza = 29.9798 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
162   X = 20 mm; Y = 127 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
163   X = 20 mm; Y = 129 mm; Amplitude = 0; Faza = 27.3233 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
164   X = 20 mm; Y = 129 mm; Amplitude = 0; Faza = 29.6368 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
165   X = 20 mm; Y = 129 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
166   X = 20 mm; Y = 131 mm; Amplitude = 0; Faza = 29.0082 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
167   X = 20 mm; Y = 131 mm; Amplitude = 0; Faza = 29.2758 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
168   X = 20 mm; Y = 131 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
169   X = 20 mm; Y = 133 mm; Amplitude = 0; Faza = 30.6317 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
170   X = 20 mm; Y = 133 mm; Amplitude = 0; Faza = 28.9344 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
171   X = 20 mm; Y = 133 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
172   X = 20 mm; Y = 135 mm; Amplitude = 0; Faza = 31.9199 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
173   X = 20 mm; Y = 135 mm; Amplitude = 0; Faza = 28.6441 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
174   X = 20 mm; Y = 135 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
175   X = 20 mm; Y = 137 mm; Amplitude = 0; Faza = 32.6854 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
176   X = 20 mm; Y = 137 mm; Amplitude = 0; Faza = 28.4276 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
177   X = 20 mm; Y = 137 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
178   X = 20 mm; Y = 139 mm; Amplitude = 0; Faza = 32.851 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
179   X = 20 mm; Y = 139 mm; Amplitude = 0; Faza = 28.2957 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
180   X = 20 mm; Y = 139 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
181   X = 20 mm; Y = 141 mm; Amplitude = 0; Faza = 32.4384 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
182   X = 20 mm; Y = 141 mm; Amplitude = 0; Faza = 28.2464 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
183   X = 20 mm; Y = 141 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
184   X = 20 mm; Y = 143 mm; Amplitude = 0; Faza = 31.5426 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
185   X = 20 mm; Y = 143 mm; Amplitude = 0; Faza = 28.2655 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
186   X = 20 mm; Y = 143 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
187   X = 20 mm; Y = 145 mm; Amplitude = 0; Faza = 30.3084 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
188   X = 20 mm; Y = 145 mm; Amplitude = 0; Faza = 28.3298 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
189   X = 20 mm; Y = 145 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
190   X = 20 mm; Y = 147 mm; Amplitude = 0; Faza = 28.9139 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
191   X = 20 mm; Y = 147 mm; Amplitude = 0; Faza = 28.4113 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
192   X = 20 mm; Y = 147 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
193   X = 20 mm; Y = 149 mm; Amplitude = 0; Faza = 27.5577 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
