Frequence = 0.6 Ghz;
N = 12378;
1.
1   X = 200 mm; Y = 210 mm; Amplitude = 0.00146745; Faza = 55.0035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
47   X = 200 mm; Y = 510 mm; Amplitude = 0.0016693; Faza = -83.4267 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
48   X = 200 mm; Y = 510 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
49   X = 200 mm; Y = 530 mm; Amplitude = 0.00187433; Faza = 100.934 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
50   X = 200 mm; Y = 530 mm; Amplitude = 0.00157976; Faza = -80.3698 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
51   X = 200 mm; Y = 530 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
52   X = 200 mm; Y = 550 mm; Amplitude = 0.00175085; Faza = 104.139 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
53   X = 200 mm; Y = 550 mm; Amplitude = 0.00148011; Faza = -76.894 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
54   X = 200 mm; Y = 550 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
55   X = 200 mm; Y = 570 mm; Amplitude = 0.00161714; Faza = 107.894 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
56   X = 200 mm; Y = 570 mm; Amplitude = 0.00137283; Faza = -72.8561 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
57   X = 200 mm; Y = 570 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
58   X = 200 mm; Y = 590 mm; Amplitude = 0.00147691; Faza = 112.396 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
59   X = 200 mm; Y = 590 mm; Amplitude = 0.00126102; Faza = -68.0683 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
60   X = 200 mm; Y = 590 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
61   X = 200 mm; Y = 610 mm; Amplitude = 0.00133485; Faza = 117.913 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
62   X = 200 mm; Y = 610 mm; Amplitude = 0.00114867; Faza = -62.2883 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
63   X = 200 mm; Y = 610 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
64   X = 200 mm; Y = 630 mm; Amplitude = 0.00119716; Faza = 124.791 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
65   X = 200 mm; Y = 630 mm; Amplitude = 0.00104091; Faza = -55.2196 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
66   X = 200 mm; Y = 630 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
67   X = 200 mm; Y = 650 mm; Amplitude = 0.00107201; Faza = 133.431 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
68   X = 200 mm; Y = 650 mm; Amplitude = 0.000944365; Faza = -46.5508 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
69   X = 200 mm; Y = 650 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
70   X = 200 mm; Y = 670 mm; Amplitude = 0.000969897; Faza = 144.169 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
71   X = 200 mm; Y = 670 mm; Amplitude = 0.000867148; Faza = -36.0773 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
72   X = 200 mm; Y = 670 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
73   X = 200 mm; Y = 690 mm; Amplitude = 0.00090286; Faza = 156.966 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
74   X = 200 mm; Y = 690 mm; Amplitude = 0.000818006; Faza = -23.9392 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
75   X = 200 mm; Y = 690 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
76   X = 200 mm; Y = 710 mm; Amplitude = 0.000881117; Faza = 171.042 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
77   X = 200 mm; Y = 710 mm; Amplitude = 0.000803878; Faza = -10.8461 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
78   X = 200 mm; Y = 710 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
79   X = 200 mm; Y = 730 mm; Amplitude = 0.000907977; Faza = -175.059 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
80   X = 200 mm; Y = 730 mm; Amplitude = 0.00082674; Faza = 2.04333 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
81   X = 200 mm; Y = 730 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
82   X = 200 mm; Y = 750 mm; Amplitude = 0.00097764; Faza = -162.697 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
83   X = 200 mm; Y = 750 mm; Amplitude = 0.000882469; Faza = 13.6662 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
84   X = 200 mm; Y = 750 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
85   X = 200 mm; Y = 770 mm; Amplitude = 0.00107865; Faza = -152.478 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
86   X = 200 mm; Y = 770 mm; Amplitude = 0.000962996; Faza = 23.5015 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
87   X = 200 mm; Y = 770 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
88   X = 200 mm; Y = 790 mm; Amplitude = 0.00119899; Faza = -144.329 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
89   X = 200 mm; Y = 790 mm; Amplitude = 0.00105949; Faza = 31.5466 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
90   X = 200 mm; Y = 790 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
91   X = 200 mm; Y = 810 mm; Amplitude = 0.00132872; Faza = -137.882 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
92   X = 200 mm; Y = 810 mm; Amplitude = 0.00116429; Faza = 38.0595 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
93   X = 200 mm; Y = 810 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
94   X = 200 mm; Y = 830 mm; Amplitude = 0.00146039; Faza = -132.744 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
95   X = 200 mm; Y = 830 mm; Amplitude = 0.00127135; Faza = 43.3548 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
96   X = 200 mm; Y = 830 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
97   X = 200 mm; Y = 850 mm; Amplitude = 0.00158852; Faza = -128.586 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
98   X = 200 mm; Y = 850 mm; Amplitude = 0.00137606; Faza = 47.7129 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
99   X = 200 mm; Y = 850 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
100   X = 200 mm; Y = 870 mm; Amplitude = 0.00170907; Faza = -125.159 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
101   X = 200 mm; Y = 870 mm; Amplitude = 0.00147493; Faza = 51.3581 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
102   X = 200 mm; Y = 870 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
103   X = 200 mm; Y = 890 mm; Amplitude = 0.00181896; Faza = -122.279 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
104   X = 200 mm; Y = 890 mm; Amplitude = 0.00156524; Faza = 54.462 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
105   X = 200 mm; Y = 890 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
106   X = 200 mm; Y = 910 mm; Amplitude = 0.00191587; Faza = -119.809 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
107   X = 200 mm; Y = 910 mm; Amplitude = 0.00164493; Faza = 57.1556 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
108   X = 200 mm; Y = 910 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
109   X = 200 mm; Y = 930 mm; Amplitude = 0.00199797; Faza = -117.648 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
110   X = 200 mm; Y = 930 mm; Amplitude = 0.00171234; Faza = 59.5393 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
111   X = 200 mm; Y = 930 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
112   X = 200 mm; Y = 950 mm; Amplitude = 0.00206388; Faza = -115.716 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
113   X = 200 mm; Y = 950 mm; Amplitude = 0.00176624; Faza = 61.6921 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
114   X = 200 mm; Y = 950 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
115   X = 200 mm; Y = 970 mm; Amplitude = 0.00211258; Faza = -113.952 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
116   X = 200 mm; Y = 970 mm; Amplitude = 0.00180572; Faza = 63.6781 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
117   X = 200 mm; Y = 970 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
118   X = 200 mm; Y = 990 mm; Amplitude = 0.00214334; Faza = -112.303 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
119   X = 200 mm; Y = 990 mm; Amplitude = 0.00183013; Faza = 65.5512 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
120   X = 200 mm; Y = 990 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
121   X = 200 mm; Y = 1010 mm; Amplitude = 0.00215574; Faza = -110.724 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
122   X = 200 mm; Y = 1010 mm; Amplitude = 0.00183914; Faza = 67.3594 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
123   X = 200 mm; Y = 1010 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
124   X = 200 mm; Y = 1030 mm; Amplitude = 0.00214962; Faza = -109.174 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
125   X = 200 mm; Y = 1030 mm; Amplitude = 0.00183263; Faza = 69.1472 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
126   X = 200 mm; Y = 1030 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
127   X = 200 mm; Y = 1050 mm; Amplitude = 0.00212509; Faza = -107.612 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
128   X = 200 mm; Y = 1050 mm; Amplitude = 0.00181077; Faza = 70.9592 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
129   X = 200 mm; Y = 1050 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
130   X = 200 mm; Y = 1070 mm; Amplitude = 0.00208253; Faza = -105.994 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
131   X = 200 mm; Y = 1070 mm; Amplitude = 0.00177396; Faza = 72.8421 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
132   X = 200 mm; Y = 1070 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
133   X = 200 mm; Y = 1090 mm; Amplitude = 0.00202258; Faza = -104.272 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
134   X = 200 mm; Y = 1090 mm; Amplitude = 0.00172287; Faza = 74.8479 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
135   X = 200 mm; Y = 1090 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
136   X = 200 mm; Y = 1110 mm; Amplitude = 0.00194618; Faza = -102.392 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
137   X = 200 mm; Y = 1110 mm; Amplitude = 0.00165846; Faza = 77.0373 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
138   X = 200 mm; Y = 1110 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
139   X = 200 mm; Y = 1130 mm; Amplitude = 0.00185462; Faza = -100.284 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
140   X = 200 mm; Y = 1130 mm; Amplitude = 0.00158198; Faza = 79.4839 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
141   X = 200 mm; Y = 1130 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
142   X = 200 mm; Y = 1150 mm; Amplitude = 0.00174952; Faza = -97.8602 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
143   X = 200 mm; Y = 1150 mm; Amplitude = 0.00149502; Faza = 82.28 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
144   X = 200 mm; Y = 1150 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
145   X = 200 mm; Y = 1170 mm; Amplitude = 0.00163297; Faza = -95.0072 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
146   X = 200 mm; Y = 1170 mm; Amplitude = 0.00139961; Faza = 85.543 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
147   X = 200 mm; Y = 1170 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
148   X = 200 mm; Y = 1190 mm; Amplitude = 0.00150764; Faza = -91.5714 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
149   X = 200 mm; Y = 1190 mm; Amplitude = 0.00129829; Faza = 89.4248 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
150   X = 200 mm; Y = 1190 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
151   X = 200 mm; Y = 1210 mm; Amplitude = 0.00137694; Faza = -87.3453 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
152   X = 200 mm; Y = 1210 mm; Amplitude = 0.00119428; Faza = -265.88 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
153   X = 200 mm; Y = 1210 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
154   X = 200 mm; Y = 1230 mm; Amplitude = 0.00124539; Faza = -82.0511 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
155   X = 200 mm; Y = 1230 mm; Amplitude = 0.0010917; Faza = -260.13 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
156   X = 200 mm; Y = 1230 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
157   X = 200 mm; Y = 1250 mm; Amplitude = 0.00111903; Faza = -75.334 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
158   X = 200 mm; Y = 1250 mm; Amplitude = 0.000995846; Faza = -253.055 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
159   X = 200 mm; Y = 1250 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
160   X = 200 mm; Y = 1270 mm; Amplitude = 0.00100591; Faza = -66.7986 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
161   X = 200 mm; Y = 1270 mm; Amplitude = 0.000913311; Faza = -244.416 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
162   X = 200 mm; Y = 1270 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
163   X = 200 mm; Y = 1290 mm; Amplitude = 0.000916375; Faza = -56.1599 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
164   X = 200 mm; Y = 1290 mm; Amplitude = 0.000851737; Faza = -234.153 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
165   X = 200 mm; Y = 1290 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
166   X = 200 mm; Y = 1310 mm; Amplitude = 0.000861901; Faza = -43.5723 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
167   X = 200 mm; Y = 1310 mm; Amplitude = 0.000818508; Faza = -222.591 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
168   X = 200 mm; Y = 1310 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
169   X = 200 mm; Y = 1330 mm; Amplitude = 0.000851507; Faza = -29.9558 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
170   X = 200 mm; Y = 1330 mm; Amplitude = 0.000818347; Faza = -210.536 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
171   X = 200 mm; Y = 1330 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
172   X = 200 mm; Y = 1350 mm; Amplitude = 0.000887006; Faza = -16.7905 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
173   X = 200 mm; Y = 1350 mm; Amplitude = 0.000851124; Faza = -199.016 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
174   X = 200 mm; Y = 1350 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
175   X = 200 mm; Y = 1370 mm; Amplitude = 0.000961818; Faza = -5.30824 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
176   X = 200 mm; Y = 1370 mm; Amplitude = 0.000911891; Faza = -188.826 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
177   X = 200 mm; Y = 1370 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
178   X = 200 mm; Y = 1390 mm; Amplitude = 0.00106481; Faza = 4.0317 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
179   X = 200 mm; Y = 1390 mm; Amplitude = 0.000993146; Faza = -180.281 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
180   X = 200 mm; Y = 1390 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
181   X = 200 mm; Y = 1410 mm; Amplitude = 0.00118479; Faza = 11.3751 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
182   X = 200 mm; Y = 1410 mm; Amplitude = 0.00108722; Faza = -173.314 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
183   X = 200 mm; Y = 1410 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
184   X = 200 mm; Y = 1430 mm; Amplitude = 0.00131264; Faza = 17.0982 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
185   X = 200 mm; Y = 1430 mm; Amplitude = 0.00118754; Faza = -167.685 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
186   X = 200 mm; Y = 1430 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
187   X = 200 mm; Y = 1450 mm; Amplitude = 0.00144146; Faza = 21.5817 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
