Frequence = 0.6 Ghz;
N = 12378;
1.
1   X = 200 mm; Y = 210 mm; Amplitude = 0.00286564; Faza = -42.1737 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
20   X = 200 mm; Y = 330 mm; Amplitude = 0.00447792; Faza = -211.742 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
21   X = 200 mm; Y = 330 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
22   X = 200 mm; Y = 350 mm; Amplitude = 0.00490983; Faza = -27.002 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
23   X = 200 mm; Y = 350 mm; Amplitude = 0.00472802; Faza = -210.964 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
24   X = 200 mm; Y = 350 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
25   X = 200 mm; Y = 370 mm; Amplitude = 0.0051623; Faza = -26.6438 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
26   X = 200 mm; Y = 370 mm; Amplitude = 0.0049652; Faza = -210.451 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
27   X = 200 mm; Y = 370 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
28   X = 200 mm; Y = 390 mm; Amplitude = 0.00539965; Faza = -26.5369 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
29   X = 200 mm; Y = 390 mm; Amplitude = 0.00518856; Faza = -210.167 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
30   X = 200 mm; Y = 390 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
31   X = 200 mm; Y = 410 mm; Amplitude = 0.00562125; Faza = -26.6471 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
32   X = 200 mm; Y = 410 mm; Amplitude = 0.00539745; Faza = -210.081 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
33   X = 200 mm; Y = 410 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
34   X = 200 mm; Y = 430 mm; Amplitude = 0.00582674; Faza = -26.9459 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
35   X = 200 mm; Y = 430 mm; Amplitude = 0.00559141; Faza = -210.169 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
36   X = 200 mm; Y = 430 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
37   X = 200 mm; Y = 450 mm; Amplitude = 0.00601599; Faza = -27.4092 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
38   X = 200 mm; Y = 450 mm; Amplitude = 0.00577019; Faza = -210.409 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
39   X = 200 mm; Y = 450 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
40   X = 200 mm; Y = 470 mm; Amplitude = 0.00618905; Faza = -28.0164 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
41   X = 200 mm; Y = 470 mm; Amplitude = 0.00593366; Faza = -210.784 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
42   X = 200 mm; Y = 470 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
43   X = 200 mm; Y = 490 mm; Amplitude = 0.00634609; Faza = -28.7494 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
44   X = 200 mm; Y = 490 mm; Amplitude = 0.00608178; Faza = -211.278 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
45   X = 200 mm; Y = 490 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
46   X = 200 mm; Y = 510 mm; Amplitude = 0.00648738; Faza = -29.5918 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
47   X = 200 mm; Y = 510 mm; Amplitude = 0.00621461; Faza = -211.875 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
48   X = 200 mm; Y = 510 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
49   X = 200 mm; Y = 530 mm; Amplitude = 0.00661323; Faza = -30.5287 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
50   X = 200 mm; Y = 530 mm; Amplitude = 0.00633223; Faza = -212.564 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
51   X = 200 mm; Y = 530 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
52   X = 200 mm; Y = 550 mm; Amplitude = 0.00672398; Faza = -31.5462 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
53   X = 200 mm; Y = 550 mm; Amplitude = 0.00643478; Faza = -213.331 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
54   X = 200 mm; Y = 550 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
55   X = 200 mm; Y = 570 mm; Amplitude = 0.0068199; Faza = -32.6311 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
56   X = 200 mm; Y = 570 mm; Amplitude = 0.00652236; Faza = -214.166 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
57   X = 200 mm; Y = 570 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
58   X = 200 mm; Y = 590 mm; Amplitude = 0.00690123; Faza = -33.7712 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
59   X = 200 mm; Y = 590 mm; Amplitude = 0.00659508; Faza = -215.057 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
60   X = 200 mm; Y = 590 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
61   X = 200 mm; Y = 610 mm; Amplitude = 0.00696813; Faza = -34.9544 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
62   X = 200 mm; Y = 610 mm; Amplitude = 0.00665298; Faza = -215.993 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
63   X = 200 mm; Y = 610 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
64   X = 200 mm; Y = 630 mm; Amplitude = 0.00702065; Faza = -36.1694 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
65   X = 200 mm; Y = 630 mm; Amplitude = 0.00669608; Faza = -216.965 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
66   X = 200 mm; Y = 630 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
67   X = 200 mm; Y = 650 mm; Amplitude = 0.00705872; Faza = -37.4051 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
68   X = 200 mm; Y = 650 mm; Amplitude = 0.00672431; Faza = -217.961 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
69   X = 200 mm; Y = 650 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
70   X = 200 mm; Y = 670 mm; Amplitude = 0.00708215; Faza = -38.6508 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
71   X = 200 mm; Y = 670 mm; Amplitude = 0.00673756; Faza = -218.971 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
72   X = 200 mm; Y = 670 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
73   X = 200 mm; Y = 690 mm; Amplitude = 0.00709063; Faza = -39.8961 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
74   X = 200 mm; Y = 690 mm; Amplitude = 0.00673563; Faza = -219.986 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
75   X = 200 mm; Y = 690 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
76   X = 200 mm; Y = 710 mm; Amplitude = 0.00708375; Faza = -41.1311 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
77   X = 200 mm; Y = 710 mm; Amplitude = 0.00671827; Faza = -220.994 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
78   X = 200 mm; Y = 710 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
79   X = 200 mm; Y = 730 mm; Amplitude = 0.00706097; Faza = -42.3459 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
80   X = 200 mm; Y = 730 mm; Amplitude = 0.00668516; Faza = -221.986 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
81   X = 200 mm; Y = 730 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
82   X = 200 mm; Y = 750 mm; Amplitude = 0.0070217; Faza = -43.5307 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
83   X = 200 mm; Y = 750 mm; Amplitude = 0.00663595; Faza = -222.95 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
84   X = 200 mm; Y = 750 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
85   X = 200 mm; Y = 770 mm; Amplitude = 0.00696528; Faza = -44.6761 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
86   X = 200 mm; Y = 770 mm; Amplitude = 0.00657026; Faza = -223.877 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
87   X = 200 mm; Y = 770 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
88   X = 200 mm; Y = 790 mm; Amplitude = 0.006891; Faza = -45.7723 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
89   X = 200 mm; Y = 790 mm; Amplitude = 0.0064877; Faza = -224.754 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
90   X = 200 mm; Y = 790 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
91   X = 200 mm; Y = 810 mm; Amplitude = 0.00679819; Faza = -46.8091 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
92   X = 200 mm; Y = 810 mm; Amplitude = 0.0063879; Faza = -225.57 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
93   X = 200 mm; Y = 810 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
94   X = 200 mm; Y = 830 mm; Amplitude = 0.00668616; Faza = -47.7758 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
95   X = 200 mm; Y = 830 mm; Amplitude = 0.00627056; Faza = -226.311 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
96   X = 200 mm; Y = 830 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
97   X = 200 mm; Y = 850 mm; Amplitude = 0.00655434; Faza = -48.6608 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
98   X = 200 mm; Y = 850 mm; Amplitude = 0.00613541; Faza = -226.964 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
99   X = 200 mm; Y = 850 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
100   X = 200 mm; Y = 870 mm; Amplitude = 0.00640223; Faza = -49.451 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
101   X = 200 mm; Y = 870 mm; Amplitude = 0.00598231; Faza = -227.512 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
102   X = 200 mm; Y = 870 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
103   X = 200 mm; Y = 890 mm; Amplitude = 0.00622947; Faza = -50.1313 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
104   X = 200 mm; Y = 890 mm; Amplitude = 0.00581128; Faza = -227.937 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
105   X = 200 mm; Y = 890 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
106   X = 200 mm; Y = 910 mm; Amplitude = 0.0060359; Faza = -50.6839 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
107   X = 200 mm; Y = 910 mm; Amplitude = 0.00562248; Faza = -228.218 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
108   X = 200 mm; Y = 910 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
109   X = 200 mm; Y = 930 mm; Amplitude = 0.00582155; Faza = -51.0872 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
110   X = 200 mm; Y = 930 mm; Amplitude = 0.00541632; Faza = -228.329 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
111   X = 200 mm; Y = 930 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
112   X = 200 mm; Y = 950 mm; Amplitude = 0.00558675; Faza = -51.3144 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
113   X = 200 mm; Y = 950 mm; Amplitude = 0.00519349; Faza = -228.238 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
114   X = 200 mm; Y = 950 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
115   X = 200 mm; Y = 970 mm; Amplitude = 0.00533214; Faza = -51.3318 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
116   X = 200 mm; Y = 970 mm; Amplitude = 0.004955; Faza = -227.908 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
117   X = 200 mm; Y = 970 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
118   X = 200 mm; Y = 990 mm; Amplitude = 0.00505876; Faza = -51.0963 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
119   X = 200 mm; Y = 990 mm; Amplitude = 0.00470229; Faza = -227.29 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
120   X = 200 mm; Y = 990 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
121   X = 200 mm; Y = 1010 mm; Amplitude = 0.00476815; Faza = -50.5516 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
122   X = 200 mm; Y = 1010 mm; Amplitude = 0.00443733; Faza = -226.322 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
123   X = 200 mm; Y = 1010 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
124   X = 200 mm; Y = 1030 mm; Amplitude = 0.00446248; Faza = -49.6236 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
125   X = 200 mm; Y = 1030 mm; Amplitude = 0.00416274; Faza = -224.928 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
126   X = 200 mm; Y = 1030 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
127   X = 200 mm; Y = 1050 mm; Amplitude = 0.00414477; Faza = -48.2131 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
128   X = 200 mm; Y = 1050 mm; Amplitude = 0.00388203; Faza = -223.005 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
129   X = 200 mm; Y = 1050 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
130   X = 200 mm; Y = 1070 mm; Amplitude = 0.00381916; Faza = -46.1864 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
131   X = 200 mm; Y = 1070 mm; Amplitude = 0.00359989; Faza = -220.427 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
132   X = 200 mm; Y = 1070 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
133   X = 200 mm; Y = 1090 mm; Amplitude = 0.0034914; Faza = -43.3635 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
134   X = 200 mm; Y = 1090 mm; Amplitude = 0.00332254; Faza = -217.034 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
135   X = 200 mm; Y = 1090 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
136   X = 200 mm; Y = 1110 mm; Amplitude = 0.00316957; Faza = -39.5051 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
137   X = 200 mm; Y = 1110 mm; Amplitude = 0.00305828; Faza = -212.637 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
138   X = 200 mm; Y = 1110 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
139   X = 200 mm; Y = 1130 mm; Amplitude = 0.00286501; Faza = -34.3088 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
140   X = 200 mm; Y = 1130 mm; Amplitude = 0.00281804; Faza = -207.035 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
141   X = 200 mm; Y = 1130 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
142   X = 200 mm; Y = 1150 mm; Amplitude = 0.00259356; Faza = -27.4371 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
143   X = 200 mm; Y = 1150 mm; Amplitude = 0.00261559; Faza = -200.069 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
144   X = 200 mm; Y = 1150 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
145   X = 200 mm; Y = 1170 mm; Amplitude = 0.00237634; Faza = -18.6301 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
146   X = 200 mm; Y = 1170 mm; Amplitude = 0.00246704; Faza = -191.725 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
147   X = 200 mm; Y = 1170 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
148   X = 200 mm; Y = 1190 mm; Amplitude = 0.00223819; Faza = -7.95059 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
149   X = 200 mm; Y = 1190 mm; Amplitude = 0.00238836; Faza = -182.265 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
150   X = 200 mm; Y = 1190 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
151   X = 200 mm; Y = 1210 mm; Amplitude = 0.00220153; Faza = 3.93397 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
152   X = 200 mm; Y = 1210 mm; Amplitude = 0.00239109; Faza = -172.282 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
153   X = 200 mm; Y = 1210 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
154   X = 200 mm; Y = 1230 mm; Amplitude = 0.00227665; Faza = 15.8039 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
155   X = 200 mm; Y = 1230 mm; Amplitude = 0.00247805; Faza = -162.555 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
156   X = 200 mm; Y = 1230 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
157   X = 200 mm; Y = 1250 mm; Amplitude = 0.00245633; Faza = 26.4637 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
158   X = 200 mm; Y = 1250 mm; Amplitude = 0.00264241; Faza = -153.752 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
159   X = 200 mm; Y = 1250 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
160   X = 200 mm; Y = 1270 mm; Amplitude = 0.00272082; Faza = 35.2923 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
161   X = 200 mm; Y = 1270 mm; Amplitude = 0.00287092; Faza = -146.227 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
162   X = 200 mm; Y = 1270 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
163   X = 200 mm; Y = 1290 mm; Amplitude = 0.00304711; Faza = 42.2595 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
164   X = 200 mm; Y = 1290 mm; Amplitude = 0.00314836; Faza = -140.028 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
165   X = 200 mm; Y = 1290 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
166   X = 200 mm; Y = 1310 mm; Amplitude = 0.00341506; Faza = 47.6368 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
167   X = 200 mm; Y = 1310 mm; Amplitude = 0.00346066; Faza = -135.024 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
168   X = 200 mm; Y = 1310 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
169   X = 200 mm; Y = 1330 mm; Amplitude = 0.00380895; Faza = 51.7616 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
170   X = 200 mm; Y = 1330 mm; Amplitude = 0.00379602; Faza = -131.017 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
171   X = 200 mm; Y = 1330 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
172   X = 200 mm; Y = 1350 mm; Amplitude = 0.00421692; Faza = 54.932 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
173   X = 200 mm; Y = 1350 mm; Amplitude = 0.00414498; Faza = -127.813 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
174   X = 200 mm; Y = 1350 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
175   X = 200 mm; Y = 1370 mm; Amplitude = 0.00463; Faza = 57.3829 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
176   X = 200 mm; Y = 1370 mm; Amplitude = 0.00450002; Faza = -125.242 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
177   X = 200 mm; Y = 1370 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
178   X = 200 mm; Y = 1390 mm; Amplitude = 0.00504119; Faza = 59.2907 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
179   X = 200 mm; Y = 1390 mm; Amplitude = 0.00485509; Faza = -123.169 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
180   X = 200 mm; Y = 1390 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
181   X = 200 mm; Y = 1410 mm; Amplitude = 0.00544489; Faza = 60.7865 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
182   X = 200 mm; Y = 1410 mm; Amplitude = 0.00520525; Faza = -121.486 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
183   X = 200 mm; Y = 1410 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
184   X = 200 mm; Y = 1430 mm; Amplitude = 0.00583648; Faza = 61.9674 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
185   X = 200 mm; Y = 1430 mm; Amplitude = 0.00554638; Faza = -120.109 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
186   X = 200 mm; Y = 1430 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
187   X = 200 mm; Y = 1450 mm; Amplitude = 0.00621208; Faza = 62.9064 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
